
         Dữ liệu  QuickSort  HeapSort  MergeSort  sort (C++)  sort (numpy)
0   1. Float Asc      30.10     40.08      20.87        0.25          0.28
1  2. Float Desc      30.61     35.40      21.68        0.26          0.28
2  3. Float Rand      37.19     46.21      28.96        4.83          0.44
3  4. Float Rand      32.37     38.11      26.26        3.91          0.31
4  5. Float Rand      30.99     37.50      26.53        3.88          0.31
5    6. Int Rand      28.96     37.67      26.05        3.80          0.34
6    7. Int Rand      32.46     40.06      27.03        3.80          0.36
7    8. Int Rand      31.51     38.39      26.55        3.76          0.35
8    9. Int Rand      30.08     39.52      28.09        3.85          0.67
9   10. Int Rand      31.20     38.51      26.71        3.81          0.34
